01000001Patricia de Sabri             00000010050
02000002Akira Toriama                 00000013200
01000003Maria do Carmo                00000002000
02000004Felipe do Santos Silva        00000033060
01000005Jorge Augusto                 00000009970
02000006Maria Joaquina                00000014590
01000007Alexandro Roberto             00000032760
02000008Fernanda Lima                 00000110000
01000009Rita de Cassia                00000043930
02000010Regiane Alves                 00000056870
